name;date;time;title;parent;semiidle;keys;lmb;rmb;scrollwheel
Pawel;2020-12-27;01:36:20;firefox;42%;41%;285;488;3;588
Pawel;2020-12-27;01:00:15;Genshin Impact;26%;NA;1;9;NA;NA
Pawel;2020-12-27;00:33:15;rocketleague - Rocket League (64-bit, DX11, Cooked);14%;NA;27;75;NA;13
Pawel;2020-12-27;00:23:30;osu!;10%;NA;4672;228;4;5
Pawel;2020-12-27;00:02:10;spotify;0%;7%;8;38;NA;NA
Pawel;2020-12-28;02:32:10;firefox;66%;42%;680;904;4;2975
Pawel;2020-12-28;01:12:45;Genshin Impact;31%;NA;1;14;NA;NA
Pawel;2020-12-28;00:03:45;spotify;1%;75%;11;12;NA;NA
Pawel;2020-12-29;03:24:40;Genshin Impact;47%;0%;NA;21;NA;NA
Pawel;2020-12-29;02:15:25;firefox;31%;31%;236;495;NA;3025
Pawel;2020-12-29;00:34:40;rocketleague - Rocket League (64-bit, DX11, Cooked);8%;NA;26;12;NA;60
Pawel;2020-12-29;00:26:15;spotify;6%;78%;21;62;NA;24
Pawel;2020-12-29;00:12:40;steamwebhelper - Lista znajomych;1%;74%;NA;12;NA;NA
Pawel;2020-12-29;00:06:50;explorer;1%;62%;7;21;1;7
Pawel;2020-12-29;00:00:05;teams;0%;NA;NA;3;NA;9
Pawel;2020-12-30;02:52:25;Genshin Impact;43%;1%;2;15;NA;NA
Pawel;2020-12-30;01:42:15;firefox;25%;34%;107;217;2;1306
Pawel;2020-12-30;00:54:45;hl2 - Team Fortress 2;13%;NA;8682;665;206;412
Pawel;2020-12-30;00:31:15;osu!;7%;NA;6584;197;NA;16
Pawel;2020-12-30;00:06:45;osu!;21%;NA;476;57;NA;NA
Pawel;2020-12-30;00:14:45;rocketleague - Rocket League (64-bit, DX11, Cooked);3%;NA;17;6;NA;33
Pawel;2020-12-30;00:10:00;discord;2%;24%;18;59;1;275
Pawel;2020-12-30;00:07:05;explorer;1%;80%;415;291;7;529
Pawel;2020-12-30;00:01:40;spotify;0%;NA;7;29;NA;9
Pawel;2020-12-30;00:00:05;teams;0%;NA;NA;1;NA;6
Pawel;2020-12-31;00:29:10;rocketleague - Rocket League (64-bit, DX11, Cooked);67%;NA;16;65;1;222
Pawel;2020-12-31;00:07:15;firefox;16%;75%;5;13;NA;39
Pawel;2020-12-31;00:01:50;spotify;4%;40%;NA;15;NA;13
Pawel;2020-12-31;00:01:20;discord;3%;NA;NA;4;NA;52
Piotr;2021-01-03;03:00:50;csgo - Counter-Strike: Global Offensive;45%;NA;30258;2387;317;496
Piotr;2021-01-03;02:44:15;chrome;41%;17%;6792;1300;10;2935
Piotr;2021-01-03;00:33:50;rocketleague - Rocket League (64-bit, DX11, Cooked);8%;NA;10;8;NA;NA
Piotr;2021-01-03;00:07:55;discord;1%;35%;28;76;3;150
Piotr;2021-01-03;00:00:30;procrastitracker;0%;NA;NA;12;1;30
Piotr;2021-01-04;02:38:50;chrome;33%;27%;2889;1510;23;4762
Piotr;2021-01-04;01:26:30;csgo - Counter-Strike: Global Offensive;18%;NA;16373;1155;274;149
Piotr;2021-01-04;00:58:45;among us - Among Us;12%;NA;7905;756;3;157
Piotr;2021-01-04;00:25:05;iexplore - C: - Users - PC-Komputer;4%;NA;2180;303;4;1344
Piotr;2021-01-04;00:20:05;idea64;4%;6%;738;256;4;415
Piotr;2021-01-04;00:17:15;fifa19 - FIFA 19;3%;NA;3;3;NA;10
Piotr;2021-01-04;00:16:00;discord;3%;41%;322;101;1;109
Piotr;2021-01-04;00:12:30;steamwebhelper - Steam;2%;4%;45;329;5;490
Piotr;2021-01-04;00:10:50;teams;2%;40%;6;49;NA;117
Piotr;2021-01-04;00:08:05;explorer;1%;53%;42;52;7;11
Piotr;2021-01-04;00:07:00;pycharm64 - w_gore.py – est.py;1%;NA;502;33;2;NA
Piotr;2021-01-05;03:13:05;chrome;41%;26%;5490;1740;27;2219
Piotr;2021-01-05;01:25:25;gta5 - Grand Theft Auto V;18%;NA;11193;405;117;772
Piotr;2021-01-05;00:33:20;idea64;7%;2%;1071;672;3;386
Piotr;2021-01-05;00:30:10;among us - Among Us;6%;NA;5049;402;2;NA
Piotr;2021-01-05;00:27:15;rocketleague - Rocket League (64-bit, DX11, Cooked);5%;NA;58;6;NA;NA
Piotr;2021-01-05;00:25:20;teams;5%;33%;30;256;3;180
Piotr;2021-01-05;00:24:35;iexplore - C: - Users - PC-Komputer;4%;NA;1717;491;2;1119
Piotr;2021-01-05;00:18:30;fifa19 - FIFA 19;3%;NA;3;1;NA;NA
Piotr;2021-01-05;00:12:20;discord;2%;65%;13;81;2;45
Piotr;2021-01-05;00:06:15;explorer;1%;NA;92;148;4;28
Piotr;2021-01-06;02:21:45;csgo - Counter-Strike: Global Offensive;43%;NA;21013;1772;214;222
Piotr;2021-01-06;01:33:20;gta5 - Grand Theft Auto V;28%;NA;15393;674;149;540
Piotr;2021-01-06;00:28:55;discord;8%;69%;5;18;NA;NA
Piotr;2021-01-06;00:24:00;idea64;7%;NA;699;334;3;1097
Piotr;2021-01-06;00:21:20;chrome;6%;52%;73;209;NA;404
Piotr;2021-01-06;00:05:45;procrastitracker;1%;5%;16;133;19;238
Piotr;2021-01-06;00:00:45;teams;0%;44%;NA;5;NA;NA
Piotr;2021-01-07;03:19:45;chrome;51%;43%;1670;1211;26;5145
Piotr;2021-01-07;01:48:25;csgo - Counter-Strike: Global Offensive;27%;NA;17325;1647;188;51
Piotr;2021-01-07;00:35:05;discord;8%;35%;34;167;3;516
Piotr;2021-01-07;00:16:45;teams;4%;64%;6;74;1;167
Piotr;2021-01-07;00:16:15;matlab;4%;4%;691;408;7;38
Piotr;2021-01-07;00:00:15;procrastitracker;0%;NA;NA;9;NA;NA
Piotr;2020-12-20;03:15:05;chrome;45%;22%;3901;1776;29;5692
Piotr;2020-12-20;01:50:05;csgo - Counter-Strike: Global Offensive;25%;NA;16668;1597;222;312
Piotr;2020-12-20;00:47:25;discord;11%;52%;61;229;8;253
Piotr;2020-12-20;00:38:50;matlab;9%;36%;1209;183;4;531
Piotr;2020-12-20;00:12:55;procrastitracker;3%;3%;56;427;25;564
Piotr;2020-12-20;00:10:55;teams;2%;32%;40;101;3;205
Piotr;2020-12-20;00:05:35;explorer;1%;NA;151;157;20;220
Piotr;2020-12-20;00:02:25;acrord32;0%;17%;12;16;1;NA
Piotr;2020-12-21;04:10:00;chrome;32%;19%;2708;2322;28;9695
Piotr;2020-12-21;02:06:20;csgo - Counter-Strike: Global Offensive;16%;NA;16707;1413;324;281
Piotr;2020-12-21;01:46:40;matlab;13%;30%;3485;707;1;248
Piotr;2020-12-21;01:36:35;rstudio;12%;2%;5105;851;3;1250
Piotr;2020-12-21;00:52:45;rocketleague - Rocket League (64-bit, DX11, Cooked);6%;0%;10;8;NA;NA
Piotr;2020-12-21;00:36:55;discord;4%;46%;32;252;16;199
Piotr;2020-12-21;00:34:10;idea64;4%;NA;1318;671;30;1526
Piotr;2020-12-21;00:20:25;teams;2%;24%;38;188;8;286
Piotr;2020-12-21;00:17:30;acrord32;2%;10%;501;244;1;217
Piotr;2020-12-21;00:12:50;explorer;1%;5%;273;324;20;208
Piotr;2020-12-21;00:06:25;procrastitracker;0%;NA;48;246;16;514
Piotr;2020-12-22;03:43:15;chrome;31%;36%;2866;1498;15;5878
Piotr;2020-12-22;02:29:50;idea64;20%;10%;6598;1557;74;2994
Piotr;2020-12-22;01:35:20;rocketleague - Rocket League (64-bit, DX11, Cooked);13%;NA;141;55;13;1
Piotr;2020-12-22;01:12:55;among us - Among Us;10%;0%;4605;580;3;365
Piotr;2020-12-22;00:53:15;teams;7%;70%;26;192;3;197
Piotr;2020-12-22;00:51:50;csgo - Counter-Strike: Global Offensive;7%;NA;10355;693;200;8
Piotr;2020-12-22;00:22:25;discord;3%;57%;227;121;11;18
Piotr;2020-12-22;00:21:40;acrord32;3%;50%;6;154;NA;116
Piotr;2020-12-22;00:06:25;procrastitracker;0%;16%;NA;154;9;40
Piotr;2020-12-23;01:57:25;chrome;27%;33%;1241;901;16;3581
Piotr;2020-12-23;01:40:45;rocketleague - Rocket League (64-bit, DX11, Cooked);23%;0%;41;17;NA;NA
Piotr;2020-12-23;01:15:40;csgo - Counter-Strike: Global Offensive;17%;NA;9787;1015;177;47
Piotr;2020-12-23;00:56:40;teams;13%;52%;492;295;6;522
Piotr;2020-12-23;00:39:10;among us - Among Us;9%;NA;2408;358;NA;NA
Piotr;2020-12-23;00:10:35;idea64;2%;33%;89;100;5;227
Piotr;2020-12-23;00:07:50;explorer;1%;38%;36;76;5;136
Piotr;2020-12-23;00:07:35;discord;1%;30%;75;75;8;86
Piotr;2020-12-23;00:01:05;procrastitracker;0%;NA;NA;46;1;58
Piotr;2020-12-23;00:00:05;acrord32;0%;NA;NA;2;NA;3
